Date,Open,High,Low,Close,Adj Close,Volume
27-06-11,561,577.3499756,561,575.2999878,468.020752,3125218
28-06-11,580,581,567.8250122,577,469.4036865,2133332
29-06-11,577.3499756,589.4500122,577.3499756,584.9249878,475.8507996,2958704
30-06-11,584.9000244,596,583.5,592.0999756,481.6877441,5172916
01-07-11,599,599,589.8499756,595.9500122,484.8200073,1920840
04-07-11,596.5,600,590,592.8499756,482.2979431,1603734
05-07-11,594.9000244,595.5,586.7000122,589.7249756,479.7557068,2061136
06-07-11,589.125,596.4500122,585.8499756,591.4000244,481.1184387,1490178
07-07-11,591.5499878,600,591.5499878,597.9500122,486.4468384,2602634
08-07-11,598,602.5,584.625,585.8250122,476.5830383,3412060
11-07-11,585,588.9000244,573.2999878,578.3250122,470.4814758,1822504
12-07-11,567.8499756,574.4000244,556.0499878,572.6749878,465.8852844,4079404
13-07-11,575,584,565.5,574.5250244,467.3903198,3952600
14-07-11,575,579.2999878,559.5499878,561.8499756,457.0788574,6937844
15-07-11,584,588.9500122,570.5499878,573.0250244,466.1699219,7279700
18-07-11,574,576,561.1500244,562.5250244,457.6279907,3125208
19-07-11,560.7999878,574.0750122,560.125,570.0250244,463.7293396,2195292
20-07-11,575,575.9000244,562.5,566.2249756,460.6380005,2807746
21-07-11,566,566.25,560.0250244,561.2750244,456.6111145,1850624
22-07-11,563.375,570.6500244,563.25,566.7000122,461.024292,2090442
25-07-11,567.5,572,561.5750122,569.9500122,463.6682129,4740714
26-07-11,569.9000244,575.9749756,563.625,572.3250122,465.6004333,3968722
27-07-11,574.4749756,577.3250122,569.0750122,573.5750122,466.6173706,2024290
28-07-11,570,572.4500122,560.1500244,564.7750244,460.6630859,4093814
29-07-11,566.5,571,560.8250122,568.5,463.7013855,1719138
01-08-11,571.2000122,574.9500122,562.5499878,567.625,462.9876709,1982346
02-08-11,565.25,567,561.125,565.3250122,461.1115723,2025292
03-08-11,560,562.8499756,547.6749878,555.1749878,452.8328247,3064246
04-08-11,555.0250244,559.75,545.5499878,547.9249878,446.9190369,3049294
05-08-11,536.5750122,537,514,528.9749756,431.4624634,5269388
