2025-12-16 17:13:50,067 | INFO | modules.training.trainer | Starting regression model training
2025-12-16 17:13:50,078 | INFO | modules.models.regression.random_forest | Training Random Forest Regressor
2025-12-16 17:13:50,849 | INFO | modules.training.trainer | Regression model training completed
2025-12-16 17:13:51,025 | INFO | modules.models.regression.random_forest | Random Forest model saved at models_saved/random_forest.pkl
2025-12-16 17:13:51,025 | INFO | modules.evaluation.regression_metrics | Evaluating regression model performance
2025-12-16 17:13:51,025 | INFO | modules.evaluation.regression_metrics | Regression Metrics: {'MSE': 123.22818733405994, 'RMSE': np.float64(11.100819219051354), 'MAE': 6.495336298459934, 'R2_Score': 0.8113735959655564}
2025-12-16 17:13:51,025 | INFO | __main__ | Training Metrics: {'MSE': 123.22818733405994, 'RMSE': np.float64(11.100819219051354), 'MAE': 6.495336298459934, 'R2_Score': 0.8113735959655564}
2025-12-16 17:13:51,025 | INFO | __main__ | Model training completed
2025-12-16 17:23:51,927 | INFO | __main__ | Starting real-time prediction engine
2025-12-16 17:23:54,621 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:24:09,945 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:24:25,211 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:24:40,586 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:24:55,857 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:25:11,166 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:25:26,468 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:25:41,815 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:25:57,071 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:26:12,360 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:26:27,682 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:26:43,051 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:26:58,401 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:27:13,730 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:27:28,989 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
